파일	테이블명
DW_D_FL_MK_PRMTN_EXCH_SL_01.sql	wl_lc_prmtn_offer_sect
DW_D_FL_MK_PRMTN_EXCH_SL_01.sql	wl_mk_prmtn_fgf_prestat
DW_D_FL_MK_PRMTN_EXCH_SL_01.sql	wl_mk_prmtn_fgf_prestat_exch
DW_D_FL_MK_PRMTN_EXCH_SL_01.sql	wl_sl_sale_hdr_dc
DW_D_SO_LC_LGPROMO_ACTRSLT_AGRG_01.sql	d_lgpromo
DW_D_SO_LC_LGPROMO_ACTRSLT_AGRG_01.sql	d_midpromo
DW_D_SO_LC_LGPROMO_ACTRSLT_AGRG_01.sql	fe_mk_lgpromo_actrslt
DW_D_SO_LC_LGPROMO_ACTRSLT_AGRG_01.sql	fl_mk_lgpromo_actrslt
DW_D_SO_LC_LGPROMO_ACTRSLT_AGRG_01.sql	so_lc_lgpromo_actrslt_agrg
DW_D_SO_LC_MIDPROMO_ACTRSLT_AGRG_01.sql	d_midpromo
DW_D_SO_LC_MIDPROMO_ACTRSLT_AGRG_01.sql	fe_mk_midpromo_actrslt
DW_D_SO_LC_MIDPROMO_ACTRSLT_AGRG_01.sql	fl_mk_midpromo_actrslt
DW_D_SO_LC_MIDPROMO_ACTRSLT_AGRG_01.sql	so_lc_midpromo_actrslt_agrg
DW_D_SO_LC_SMPROMO_ACTRSLT_AGRG_01.sql	d_prmtn
DW_D_SO_LC_SMPROMO_ACTRSLT_AGRG_01.sql	fe_mk_prmtn_actrslt
DW_D_SO_LC_SMPROMO_ACTRSLT_AGRG_01.sql	fl_mk_prmtn_actrslt
DW_D_SO_LC_SMPROMO_ACTRSLT_AGRG_01.sql	so_lc_smpromo_actrslt_agrg
DW_INIT_FL_MK_PRMTN_OFFER_ACTRSLT_init.sql	d_intg_memb
DW_INIT_FL_MK_PRMTN_OFFER_ACTRSLT_init.sql	d_ldfp
DW_INIT_FL_MK_PRMTN_OFFER_ACTRSLT_init.sql	d_lgpromo
DW_INIT_FL_MK_PRMTN_OFFER_ACTRSLT_init.sql	d_memb
DW_INIT_FL_MK_PRMTN_OFFER_ACTRSLT_init.sql	d_prmtn
DW_INIT_FL_MK_PRMTN_OFFER_ACTRSLT_init.sql	fl_mk_ldfp_acmlt_use_ptcls
DW_INIT_FL_MK_PRMTN_OFFER_ACTRSLT_init.sql	fl_mk_prmtn_actrslt
DW_INIT_FL_MK_PRMTN_OFFER_ACTRSLT_init.sql	fl_mk_prmtn_exch_chng_temp_init
DW_INIT_FL_MK_PRMTN_OFFER_ACTRSLT_init.sql	fl_mk_prmtn_exch_sl
DW_INIT_FL_MK_PRMTN_OFFER_ACTRSLT_init.sql	fl_mk_prmtn_exch_sl_test
DW_INIT_FL_MK_PRMTN_OFFER_ACTRSLT_init.sql	fl_mk_prmtn_fgf_prestat_dtl
DW_INIT_FL_MK_PRMTN_OFFER_ACTRSLT_init.sql	fl_mk_prmtn_offer_actrslt_init
DW_INIT_FL_MK_PRMTN_OFFER_ACTRSLT_init.sql	fl_sl_exch_sl
DW_INIT_FL_MK_PRMTN_OFFER_ACTRSLT_init.sql	fl_sl_prod_sl
DW_INIT_FL_MK_PRMTN_OFFER_ACTRSLT_init.sql	temp_prmtn_offer_actrslt_01_init
DW_INIT_FL_MK_PRMTN_OFFER_ACTRSLT_init.sql	temp_prmtn_offer_actrslt_02_init
DW_INIT_FL_MK_PRMTN_OFFER_ACTRSLT_init.sql	temp_prmtn_offer_actrslt_03_init
DW_INIT_FL_MK_PRMTN_OFFER_ACTRSLT_init.sql	temp_prmtn_offer_actrslt_04_init
DW_INIT_FL_MK_PRMTN_OFFER_ACTRSLT_init.sql	temp_prmtn_offer_actrslt_05_init
DW_INIT_FL_MK_PRMTN_OFFER_ACTRSLT_init.sql	wl_lc_prmtn_offer_sect
DW_INIT_FL_MK_PRMTN_OFFER_ACTRSLT_init.sql	wl_lc_prmtn_offer_sect_ldfp
DW_INIT_FL_MK_PRMTN_OFFER_ACTRSLT_init.sql	wl_lp_ldfp_no_acmlt_use_cap_mgt
DW_INIT_FL_MK_PRMTN_OFFER_ACTRSLT_init.sql	wl_mk_fgf_basic_info
DW_INIT_FL_MK_PRMTN_OFFER_ACTRSLT_init.sql	wl_mk_prmtn_fgf_prestat
DW_INIT_FL_MK_PRMTN_OFFER_ACTRSLT_init.sql	wl_mk_prmtn_fgf_prestat_dtl
DW_INIT_FL_MK_PRMTN_OFFER_ACTRSLT_init.sql	wl_sl_pspt_rcgnt_no
DW_INIT_FL_MK_PRMTN_OFFER_ACTRSLT_init.sql	wl_sl_sale_hdr_dc
DW_INIT_FL_MK_PRMTN_OFFER_ACTRSLT_init.sql	wl_sl_str_info
multiple_with.txt	actual_valid_table
multiple_with.txt	config_tables
multiple_with.txt	core.final_table
multiple_with.txt	external_info_db
multiple_with.txt	filter_list_table
multiple_with.txt	hr.employee_records
multiple_with.txt	hr.high_perf_departments
multiple_with.txt	logs.raw_log_data
multiple_with.txt	master.reference_data
multiple_with.txt	public.base_users
multiple_with.txt	sales.user_orders
multiple_with.txt	source_sales_data
multiple_with.txt	target_sales_db
mysql.sql	db_user.login_history
mysql.sql	db_user.users
oracle.sql	a.hr.employees
oracle.sql	hr.departments
postgre.sql	a.categories
postgre.sql	a.products
postgre.sql	sales.transactions
sqlServer.txt	sales.customers
sqlServer.txt	sales.orders
[20230508_온라인대행사적재.SQL	d_lgpromo
[20230508_온라인대행사적재.SQL	d_prmtn
[20230508_온라인대행사적재.SQL	fe_mk_lgpromo_actrslt_init
[20230508_온라인대행사적재.SQL	fe_mk_lgpromo_temp_init
[20230508_온라인대행사적재.SQL	fe_mk_prmtn_actrslt_init2
[20230508_온라인대행사적재.SQL	fe_mk_prmtn_ord_sl_init2
[20230508_온라인대행사적재.SQL	fe_sl_ord_prod
[20230508_온라인대행사적재.SQL	wl_io_dd_price
[20230508_온라인소행사적재.sql	d_lgpromo
[20230508_온라인소행사적재.sql	d_prmtn
[20230508_온라인소행사적재.sql	de_onln_memb
[20230508_온라인소행사적재.sql	fe_mk_bnft_offer_dtl
[20230508_온라인소행사적재.sql	fe_mk_onln_prmtn_chng_temp_init2
[20230508_온라인소행사적재.sql	fe_mk_prmtn_actrslt_init
[20230508_온라인소행사적재.sql	fe_mk_prmtn_actrslt_init2
[20230508_온라인소행사적재.sql	fe_mk_prmtn_ord_sl
[20230508_온라인소행사적재.sql	fe_sl_ord_prod
[20230508_온라인소행사적재.sql	we_mt_deal_evt
[20230508_온라인소행사적재.sql	we_mt_deal_evt_fvr
[20230508_온라인소행사적재.sql	we_mt_evt_fvr
[20230508_온라인소행사적재.sql	we_od_ord
[20230508_온라인소행사적재.sql	we_od_ord_dscnt
[20230508_온라인소행사적재.sql	wl_io_dd_price
[20230508_온라인중행사적재.SQL	d_lgpromo
[20230508_온라인중행사적재.SQL	d_midpromo
[20230508_온라인중행사적재.SQL	fe_mk_midpromo_actrslt_init
[20230508_온라인중행사적재.SQL	fe_mk_midpromo_temp_init
[20230508_온라인중행사적재.SQL	fe_mk_prmtn_actrslt_init2
[20230508_온라인중행사적재.SQL	fe_sl_ord_prod
[20230508_온라인중행사적재.SQL	wl_io_dd_price
[20230508_온라인행사테이블치환.SQL	fe_mk_lgpromo_actrslt
[20230508_온라인행사테이블치환.SQL	fe_mk_lgpromo_actrslt_init
[20230508_온라인행사테이블치환.SQL	fe_mk_midpromo_actrslt
[20230508_온라인행사테이블치환.SQL	fe_mk_midpromo_actrslt_init
[20230508_온라인행사테이블치환.SQL	fe_mk_prmtn_actrslt
[20230508_온라인행사테이블치환.SQL	fe_mk_prmtn_actrslt_init2
[20230508_온라인행사테이블치환.SQL	ldf_dw.fe_mk_lgpromo_actrslt
[20230508_온라인행사테이블치환.SQL	ldf_dw.fe_mk_midpromo_actrslt
[20230508_온라인행사테이블치환.SQL	ldf_dw.fe_mk_prmtn_actrslt
[20230509_오프라인대행사적재.SQL	d_intg_memb
[20230509_오프라인대행사적재.SQL	d_lgpromo
[20230509_오프라인대행사적재.SQL	d_memb
